alternative_transition_end_seconds,alternative_transition_start_seconds,flags,gi_end_seconds,gt_start_seconds,load_peaks_left,load_peaks_right,onset_seconds,record,reference_limb,sequence_assumption,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial
10.72,6.06,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; observed timestamp gaps retained,3.96,16.21,11,12,3.33,sir_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.49,8.29,provisional six-phase fit,0.45,weak/ambiguous pattern evidence,11
12.85,10.46,All events provisional; pressure extrema are not heel-strike labels,4.63,17.12,12,11,4.24,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.85,11.56,provisional six-phase fit,0.428,moderate pattern evidence,12
11.18,6.35,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,4.23,16.61,11,12,3.81,sir_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.18,9.84,provisional six-phase fit,0.3462,weak/ambiguous pattern evidence,13
13.27,10.81,All events provisional; pressure extrema are not heel-strike labels,4.9,17.59,12,11,4.48,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.34,10.81,provisional six-phase fit,0.3113,moderate pattern evidence,14
14.53,8.64,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; observed timestamp gaps retained,6.58,18.86,11,12,6.18,sir_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.86,9.71,provisional six-phase fit,0.3715,weak/ambiguous pattern evidence,15
11.73,9.29,All events provisional; pressure extrema are not heel-strike labels; observed timestamp gaps retained,3.44,15.93,12,11,2.95,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.73,10.38,provisional six-phase fit,0.3776,moderate pattern evidence,16
13.41,8.56,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,5.84,18.7,12,12,5.38,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.68,8.56,provisional six-phase fit,0.4498,weak/ambiguous pattern evidence,17
12.33,9.88,All events provisional; pressure extrema are not heel-strike labels,3.96,16.74,12,11,3.56,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.02,9.88,provisional six-phase fit,0.4405,moderate pattern evidence,18
10.91,6.17,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.96,16.39,11,12,3.28,sir_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.45,7.28,provisional six-phase fit,0.3736,weak/ambiguous pattern evidence,19
14.12,11.72,All events provisional; pressure extrema are not heel-strike labels,6.37,18.52,11,11,5.31,sir_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.8,11.72,provisional six-phase fit,0.447,moderate pattern evidence,20
11.4,6.5,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,4.34,16.86,11,12,3.86,sir_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",7.71,6.5,provisional six-phase fit,0.3813,weak/ambiguous pattern evidence,21
17.03,10.77,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,8.48,21.37,11,12,7.77,sir_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",17.03,15.62,provisional six-phase fit,0.3333,weak/ambiguous pattern evidence,1
11.08,7.51,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,4.23,16.36,12,11,3.69,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.83,8.66,provisional six-phase fit,0.4495,weak/ambiguous pattern evidence,2
12.69,9.32,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,5.8,16.42,11,10,4.59,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.73,10.62,provisional six-phase fit,0.4898,weak/ambiguous pattern evidence,3
13.97,12.5,All events provisional; pressure extrema are not heel-strike labels,4.38,16.67,12,11,3.87,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",13.97,12.5,provisional six-phase fit,0.3098,moderate pattern evidence,4
11.58,9.22,All events provisional; pressure extrema are not heel-strike labels,3.53,15.21,11,11,2.44,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.68,9.22,provisional six-phase fit,0.3552,moderate pattern evidence,5
12.74,6.56,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,4.2,16.84,12,11,3.78,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.06,6.56,provisional six-phase fit,0.2867,weak/ambiguous pattern evidence,6
11.02,6.13,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.88,16.75,11,12,3.32,sir_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",7.35,6.13,provisional six-phase fit,0.38,weak/ambiguous pattern evidence,7
11.83,7.16,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,5.08,17.19,12,11,4.58,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.63,9.41,provisional six-phase fit,0.41,weak/ambiguous pattern evidence,8
10.08,5.11,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.8,15.55,11,12,2.41,sir_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.96,7.6,provisional six-phase fit,0.2821,weak/ambiguous pattern evidence,9
11.81,5.91,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.71,15.84,12,11,3.17,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.5,8.22,provisional six-phase fit,0.3208,weak/ambiguous pattern evidence,10
10.9,8.54,All events provisional; pressure extrema are not heel-strike labels,4.03,15.78,11,11,2.95,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.9,9.68,provisional six-phase fit,0.5358,moderate pattern evidence,11
13.31,6.09,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.79,16.37,12,11,3.35,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.99,9.79,provisional six-phase fit,0.3158,weak/ambiguous pattern evidence,12
12.71,5.38,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.04,15.94,11,12,2.6,sir_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.48,10.18,provisional six-phase fit,0.2927,weak/ambiguous pattern evidence,13
10.61,5.82,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; observed timestamp gaps retained,3.59,15.92,12,11,3.19,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",6.97,5.82,provisional six-phase fit,0.3729,weak/ambiguous pattern evidence,14
9.09,8.29,All events provisional; pressure extrema are not heel-strike labels,3.09,15.79,12,11,2.08,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.09,8.29,provisional six-phase fit,0.3456,moderate pattern evidence,15
12.46,6.38,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,4.07,16.6,12,11,3.69,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",7.65,6.38,provisional six-phase fit,0.2938,weak/ambiguous pattern evidence,16
11.77,9.35,All events provisional; pressure extrema are not heel-strike labels,3.53,16.19,11,12,2.81,sir_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.41,9.35,provisional six-phase fit,0.4451,moderate pattern evidence,17
,,All events provisional; pressure extrema are not heel-strike labels; insufficient complete strides or missing data for transition estimate; observed timestamp gaps retained,,,12,11,,sir_21,,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",,,unresolved,,unresolved,18
12.17,6.16,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; observed timestamp gaps retained,4.2,16.27,11,11,2.77,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",7.28,6.16,provisional six-phase fit,0.4,weak/ambiguous pattern evidence,19
11.66,4.71,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.57,14.74,12,11,2.05,sir_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.12,6.96,provisional six-phase fit,0.3851,weak/ambiguous pattern evidence,20
