alternative_transition_end_seconds,alternative_transition_start_seconds,flags,gi_end_seconds,gt_start_seconds,load_peaks_left,load_peaks_right,onset_seconds,record,reference_limb,sequence_assumption,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial
11.88,4.84,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.47,15.41,11,12,1.9,sub_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.71,9.57,provisional six-phase fit,0.2274,weak/ambiguous pattern evidence,18
11.38,5.58,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.89,15.14,11,11,2.31,sub_1,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",6.38,5.58,provisional six-phase fit,0.2366,weak/ambiguous pattern evidence,19
12.32,7.6,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.84,15.63,11,12,2.31,sub_1,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.07,9.94,provisional six-phase fit,0.3392,weak/ambiguous pattern evidence,20
11.46,7.78,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.32,16.25,11,12,2.94,sub_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.11,8.96,provisional six-phase fit,0.4937,weak/ambiguous pattern evidence,1
12.77,5.58,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.87,15.37,12,11,2.38,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.27,9.11,provisional six-phase fit,0.2346,weak/ambiguous pattern evidence,2
12.5,6.63,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.27,16.59,12,12,2.86,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.91,9.07,provisional six-phase fit,0.3487,weak/ambiguous pattern evidence,3
12.24,6.09,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.2,15.13,12,12,1.84,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.4,10.19,provisional six-phase fit,0.3137,weak/ambiguous pattern evidence,4
12.98,5.45,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.95,16.42,11,12,2.25,sub_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.62,10.31,provisional six-phase fit,0.1786,weak/ambiguous pattern evidence,5
12.43,7.68,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.15,15.02,12,11,2.07,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.43,10.96,provisional six-phase fit,0.2512,weak/ambiguous pattern evidence,6
11.65,8.08,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.13,16.25,11,12,2.74,sub_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.56,9.33,provisional six-phase fit,0.4461,weak/ambiguous pattern evidence,7
12.14,5.29,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.05,15.06,12,11,2.02,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.78,7.36,provisional six-phase fit,0.2047,weak/ambiguous pattern evidence,8
11.84,5.69,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.48,16.36,11,12,3.09,sub_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.5,9.24,provisional six-phase fit,0.3651,weak/ambiguous pattern evidence,9
12.8,6.74,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.33,15.71,12,11,2.59,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.8,11.94,provisional six-phase fit,0.2581,weak/ambiguous pattern evidence,10
12.51,6.4,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.94,15.92,11,12,2.59,sub_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.19,9.98,provisional six-phase fit,0.3487,weak/ambiguous pattern evidence,11
11.54,7.48,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.87,15.81,12,11,2.0,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.07,8.68,provisional six-phase fit,0.35,weak/ambiguous pattern evidence,12
,,All events provisional; pressure extrema are not heel-strike labels; sustained onset with initial standing not resolved,,,11,12,,sub_21,,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",,,unresolved,,unresolved,13
12.23,11.42,All events provisional; pressure extrema are not heel-strike labels,2.96,15.2,13,11,2.0,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.23,11.42,provisional six-phase fit,0.3484,moderate pattern evidence,14
10.91,7.27,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.65,15.61,11,12,2.29,sub_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.58,8.46,provisional six-phase fit,0.3645,weak/ambiguous pattern evidence,15
10.94,6.18,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; L insole inferred end from matched clock offset,2.93,15.13,12,11,2.09,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.94,10.09,provisional six-phase fit,0.307,weak/ambiguous pattern evidence,16
11.09,5.95,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.01,15.02,11,11,1.64,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",7.1,5.95,provisional six-phase fit,0.3968,weak/ambiguous pattern evidence,17
11.31,8.88,All events provisional; pressure extrema are not heel-strike labels,3.24,15.35,11,11,2.18,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.81,8.88,provisional six-phase fit,0.3106,moderate pattern evidence,18
11.5,6.58,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,3.07,16.05,11,12,2.33,sub_21,R,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.22,8.99,provisional six-phase fit,0.4026,weak/ambiguous pattern evidence,19
11.13,5.6,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,2.87,15.16,12,11,2.2,sub_21,L,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.13,10.32,provisional six-phase fit,0.3563,weak/ambiguous pattern evidence,20
